fr,es,en,it,pt,de,zh,taxon
huile d'ail,aceite de ajo,garlic oil,olio di aglio,óleo de alho,knoblauchöl,大蒜油,102
huile d'olive&huile de tournesol&huile,aceite de oliva&aceite de girasol,olive oil&sunflower oil,olio di oliva,azeite&óleo de girassol,olivenöl&sonnenblumenöl,橄欖油,102
huile de colza,aceite de colza,colza oil,olio di colza,óleo de colza,rapsöl,菜子油,102
huile de mais,aceite de maíz,corn oil,olio di mais,óleo de milho,maisöl,玉米油,102
huile de noix,aceite de nuez,nut oil,olio di noci,óleo de noz,walnussöl,堅果油,102
huile de noix de coco,aceite de coco,coconut oil,olio di cocco,óleo de coco,kokosöl,椰子油,102
huile de pépins de raisin,aceite de semilla de uva,grape seed oil,olio di semi d uva,óleo de sementes de uva,traubenkernöl,葡萄籽油,102
huile de soja,aceite de soja,soy oil,olio di semi di soia,óleo de soja,sojaöl,豆油,102
huile de truffe,aceite de trufa,truffle oil,olio al tartufo,óleo de trufas,truffelöl,松露油,102
margarine,margarina,margarine,margarina,margarina,margarine,人造黃油,102
miso,miso,miso,miso,misso,miso,味噌,102
moutarde,mostaza,mustard,senape,mostarda,senf,芥末,102
pesto,pesto,pesto,pesto,pesto,pesto,香蒜,102
sauce soja&tamari,salsa de soja&tamari,soy sauce,salsa di soia,molho de soja,sojasauce,醬油,102
the vert&matcha,té verde,green tea,te verde,chá verde&matcha,grüner tee&matcha,綠茶,102
the&the noir,té&earl grey,tea,te,chá preto&chá,schwarzer tee&tee,茶,102
tisane,tisana,tisane,tisane,chá de ervas,kräutertee,蒂三烷,102
vinaigre balsamique&vinaigre,vinagre balsámico&vinagre de módena&vinagre,balsamic vinegar,aceto balsamico,vinagre balsâmico&vinagre,balsamico essig&essig,香醋,102
vinaigre de framboise,vinagre de frambuesa,raspberry vinegar,aceto di lamponi,vinagre de framboesa,himbeeressig,覆盆子醋,102
vinaigre de riz,vinagre de arroz,rice vinegar,aceto di riso,vinagre de arroz,reisessig,米醋,102
vinaigre de vin blanc,vinagre de vino blanco,white wine vinegar,aceto di vino bianco,vinagre de vinho branco,weißweinessig,白葡萄酒醋,102
vinaigre de vin rouge,vinagre de vino tinto,red wine vinegar,aceto di vino rosso,vinagre de vinho tinto,rotweinessig,紅酒醋,102
vinaigre de xérès,vinagre de jerez,sherry vinegar,aceto di sherry,vinagre de xerez,sherryessig,雪利醋,102
vinaigrette,vinagreta,vinaigrette,vinaigrette,vinagrete,vinaigrette,油醋汁,102
vinaigrette aux fines herbes,vinagreta de finas hierbas,fines herbs vinaigrette,vinaigrette alle erbe,vinagrete de ervas,kräutervinaigrette,罰款香草醋,102
vinaigrette aux fraises,vinagreta de fresas,strawberry vinaigrette,vinaigrette alla fragola,vinagrete de morango,erdbeervinaigrette,草莓油醋汁,102
avoine&farine d'avoine&flocons d'avoine,avena&harina de avena,oat&oatmeal,avena,aveia,hafer&haferflocken,燕麥,103
blé,trigo,wheat,grano,trigo,weizen,小麥,103
blé d'épeautre&farine d'épeautre,trigo espelta&harina de espelta,spelled wheat&spelt flour,grano di farro,trigo espelta&farinha de espelta,dinkelweizen&dinkelmehl,小麥拼,103
boulgour,bulgur,bulgur,bulgur,bulgur,bulgur,碾碎的干小麥,103
couscous,cuscús,couscous,cuscus,cuscuz,couscous,庫斯庫斯,103
farine de blé complet&farine intégrale,harina de trigo integral,whole wheat flour,farina integrale,farinha de trigo integral,vollkornmehl,全麥麵粉,103
farine de châtaigne,harina de castaña,chestnut flour,farina di castagne,farinha de castanha,kastanienmehl,栗粉,103
farine de mais,harina de maíz,corn flour,farina di mais,farinha de milho,maismehl,玉米粉,103
farine de pois chiche,harina de garbanzos,chick pea flour,farina di ceci,farinha de grão de bico,kichererbsenmehl,鷹嘴豆粉,103
farine de sarrasin,harina de sarrazan,buckwheat flour,farina di grano saraceno,farinha de trigo-sarraceno,buchweizenmehl,小麥麩皮麵粉,103
farine de seigle,harina de centeno,rye flour,farina di segale,farinha de centeio,roggenmehl,黑麥麵粉,103
farine&farine de blé,harina,flour&wheat flour,farina,farinha de trigo&farinha,weizenmehl&mehl,麵粉和小麥粉,103
fonio,fonio,fonio,fonio,fonio,fonio,豐尼奧,103
frik,frik,frik,frik,frik,frik,弗里克,103
granola,granola,granola,granola,granola,granola,格蘭諾拉麥片,103
gurullos,gurullos,gurullos,gurullos,gurullos,gurullos,古魯洛斯,103
mais,maíz,corn,mais,milho,mais,玉米,103
maïzena&fécule de mais,maicena,cornstarch,maizena,amido de milho,maisstärke,玉米澱粉,103
mil,mijo,son,miglio,milheto,hirse,兒子,103
muesli,muesli,muesli,muesli,muesli,müsli,麥片,103
orge,cebada,barley,orzo,cevada,gerste,大麥,103
polenta,polenta,polenta,polenta,polenta,polenta,玉米粥,103
pâte mère,masa madre,mother dough,pasta madre,massa mãe,mutterteig,媽媽麵團,103
quinoa,quinoa,quinoa,quinoa,quinoa,quinoa,藜麥,103
riz complet,arroz integral,wholemeal rice,riso integrale,arroz integral,vollkornreis,全麥飯,103
riz&farine de riz&riz blanc&basmati,arroz&harina de arroz,rice&rice flour,riso,arroz&farinha de arroz&arroz branco&basmati,reis&reismehl&weißer reis&basmatireis,白飯,103
sarrasin,alforfón&trigo sarraceno,buckwheat,grano saraceno,trigo-sarraceno,buchweizen,蕎麥,103
seigle,centeno,rye,segale,centeio,roggen,黑麥,103
semoule,sémola,semolina,semola,sêmola,grieß,粗糧,103
son de blé,sonido de trigo,bran,crusca di frumento,farelo de trigo,weizenkleie,麩,103
sorgho,sorgo,sorghum,sorgo,sorgo,sorghum,高粱,103
cannellonis,canelones,cannelloni,cannelloni,canelone,cannelloni,碎肉捲,104
farfalle,farfalle,farfalle,farfalle,farfalle,farfalle,廚子,104
gnocchi,ñoqui,gnocchi,gnocchi,nhoque,gnocchi,面,104
lasagne,lasaña,lasagna,lasagna,lasanha,lasagne,烤宽面条,104
lumaconi,lumaconi,lumaconi,lumaconi,lumaconi,lumaconi,lumaconi,104
macaroni,macarrones,macaroni,maccheroni,macaroni,makkaroni,通心粉,104
macaroni de blé entier,macarrones integrales,whole macaroni,maccheroni di grano integrale,macaroni de trigo integral,vollkornmakkaroni,整個通心粉,104
nouilles,fideos,noodles,noodles,talharim,nudeln,麵條,104
penne rigate,penne rigate,penne rigate,penne rigate,penne rigate,penne rigate,潘尼加里加,104
pâte de riz,pasta de arroz,rice pasta,pasta di riso,pate de arroz,reispastete,米粉,104
pâtes,pasta,pasta,pasta,macarrão,pasta,意大利面,104
pâtes entières&nouilles complètes,pasta integral&fideos integral,wheat pasta&wholemeal noodles,pasta intera,macarrão inteiro&macarrão integral,ganze nudeln,小麥麵食,104
spaghetti&spaghettini,espaguetis&spaghettini,spaghetti&spaghettini,spaghetti,espaguete,spaghetti&spaghettini,意大利面,104
vermicelle,vermicelle,vermicelli,vermicelli,aletria,fadennudeln,掛麵,104
baguette,baguette,baguette,baguette,baguete,baguette,法國麵包,105
biscotte,bizcocho tostado,rusk,fette biscottate,tosta,zwieback,麵包幹,105
biscuit,galleta,biscuit,biscotto,biscoito,keks,餅乾,105
blini,blini,blini,blini,blini,blini,布利尼,105
brik,brik,brik,brik,brik,brik,布里克,105
brioche,brioche,brioche,brioche,brioche,brioche,鞋墊,105
chapelure,pan rallado&miga de pan,breadcrumbs,pangrattato,pão ralado,kapelle,麵包屑,105
croissant,croissant,croissant,croissant,croissant,croissant,羊角麵包,105
croutons,picatostes,croutons,crostini,pão torrado,croutons,油炸麵包塊,105
crêpe,crepe,crêpe,crepe,crepe,crêpe,縐,105
frangipane,franchipán,frangipani,frangipani,frangipane,frangipane,雞蛋花,105
gressin,barra de pan,breadstick,gressin,palito de pão,brotstress,麵包棒,105
levain&levure,levadura,leaven&yeast,lievito,fermento,sauerteig&hefe,酵,105
mie de pain&pain de mie,hogaza de pan,soft bread,briciola di pane,migalhas de pão&sanduíche,semmelbrösel&sandwichbrot,軟麵包,105
pain,pan,bread,pane,pão,brot,麵包,105
pain blanc,pan blanco,white bread,pane bianco,pão branco,weißbrot,白麵包,105
pain complet,pan integral,wholemeal bread,pane completa,pão integral,vollkornbrot,全麥麵包,105
pain d'épeautre,pan de escanda&pan de espelta,spelt bread,pane di farro,pão de espelta,dinkelbrot,全麥麵包,105
pain d'épice,pan de jengibre,ginger bread,pan di zenzero,pão tempero,brot gewürz,薑餅,105
pain de campagne,pan de campaña,pain de campagne,pane di campagna,pão do pais,landbrot,坎帕涅之痛,105
pain de seigle,pan de centeno,rye bread,pane di segale,pão de centeio,roggenbrot,黑麥麵包,105
pita,pita,pita,pita,pão árabe,pita,皮塔餅,105
pâte brisée,masa quebrada,shortcrust pastry,pasta spezzata,massa crocante,knuspriger teig,脆皮糕點,105
pâte feuilletée,hojaldre,puff pastry,pasta sfoglia,massa folhada,blätterteig,油酥點心,105
pâte sablée,pasta flora,pastry,pasta frolla,massa de areia,sandiger teig,糕點,105
pâte à pizza,masa de pizza,pizza dough,pasta pizza,massa de piza,pizzateig,披薩麵團,105
spéculoos,speculoos,speculoos,speculoos,speculoos,spekulatius,窺探者,105
pain grillé,tostada,toast,pane tostato,pão torrado,toast,吐司,105
tortilla,tortilla,tortilla,tortilla,tortilha,tortilla,玉米餅,105
béchamel,besamel,bechamel,besciamella,bechamel,bechamel,贝克汉姆,106
beurre de cacahuète,mantequilla de maní,peanut butter,burro di cacao,manteiga de amendoim,erdnussbutter,花生醬,106
crème de soja,crema de soja,soy crème,crema di soia,creme de soja,sojacreme,大豆奶油,106
lait d'amande,leche de almendras,almond milk,latte di mandorle,leite de amêndoa,mandelmilch,杏仁奶,106
lait d'avoine,leche de avena,oat milk,latte di avena,leite de aveia,hafermilch,燕麥奶,106
lait de coco,leche de coco,coconut milk,latte di cocco,leite de coco,kokosmilch,椰奶,106
lait de soja&lait végétal,leche de soja,soy milk,latte soia,leite de soja,milch soja&gemusemilch,豆漿,106
tempeh,tempeh,tempeh,tempeh,tempeh,tempeh,豆豉,106
agave,agave,agave,agave,agave,agave,龍舌蘭,107
cacao,cacao,cocoa,cacao,cacau,kakao,可可,107
caramel,caramelo,caramel,caramello,caramelo,karamell,焦糖,107
cassonade&sucre de canne&sucre roux,azúcar moreno&azúcar de cana,brown sugar,zucchero di canna,açúcar mascavo&açúcar de cana,brauner zucker&rohrzucker,紅糖,107
chocolat au lait,chocolate con leche,milk chocolate,cioccolato al latte,chocolate ao leite,milchschokolade,牛奶巧克力,107
chocolat blanc,chocolate blanco,white chocolate,cioccolato bianco,chocolate branco,weiße schokolade,白巧克力,107
chocolat&chocolat noir,chocolate,chocolate,cioccolato,chocolate&chocolate amargo,schokolade&dunkle schokolade,巧克力,107
confiture,mermelada,jam,marmellata,geleia,marmelade,果醬,107
crème de marron,crema marrón,chestnut cream,crema marrone,creme de castanha,kastaniencreme,栗子奶油,107
miel,miel,honey,miele,mel,honig,蜂蜜,107
nougat,turrón,nougat,torrone,nougat,nougat,牛軋糖,107
praline,almendra garapiñada,praline,pralina,praline,praline,果仁糖,107
pâte d'amande,pasta de almendras,almond paste,marzapane,pasta de amêndoa,mandelpaste,杏仁糊,107
réglisse,regaliz,licorice,liquirizia,alcacuz,lakritz,甘草,107
sirop d'érable,jarabe de arce,maple syrup,sciroppo d acero,xarope de bordo,ahornsirup,楓糖漿,107
sucre de coco,azúcar de coco,coconut sugar,zucchero di cocco,açúcar de coco,kokosnusszucker,椰子糖,107
sucre glace,azúcar glas,icing sugar,zucchero a velo,açúcar de confeiteiro,puderzucker,糖粉,107
sucre vanille,azúcar de vainilla,vanilla sugar,zucchero vanigliato,açúcar de baunilha,vanillezucker,香草糖,107
sucre&sucre blanc,azúcar,sugar,zucchero,açúcar&açúcar branco,zucker&weißzucker,糖,107
armagnac,armañac,armagnac,armagnac,armagnac,armagnac,阿馬尼亞克,110
beaujolais,beaujolais,beaujolais,beaujolais,beaujolais,beaujolais,博若萊,110
bière,cerveza,beer,birra,cerveja,bier,啤酒,110
calvados,calvados,calvados,calvados,calvados,calvados,卡爾瓦多斯,110
champagne,champán,champagne,champagne,champanhe,champagner,香檳酒,110
cidre,sidra,cider,sidro,cidra,apfelwein,蘋果酒,110
cognac,coñac,cognac,cognac,conhaque,cognac,科涅克白蘭地,110
gin,ginebra,gin,gin,gim,gin,杜松子酒,110
grand marnier,grand marnier,grand marnier,grand marnier,grand marnier,grand marnier,大俠,110
kirsch,kirsch,kirsch,kirsch,kirsch,kirsch,基爾施,110
noilly prat,noilly prat,noilly prat,noilly prat,noilly prat,noilly prat,諾伊·普拉特,110
pastis,pastís,pastis,pastis,pastis,pastis,糊狀,110
porto,porto,porto,porto,porto,portwein,波爾圖,110
rhum,ron,rum,rum,rum,rum,朗姆酒,110
rose,vino rosado,rose,rose,vinho rosa,roséwein,玫瑰,110
vin blanc&vin,vino blanco,white wine,vino bianco,vinho branco&vinho,weißwein&wein,白酒,110
vin de madeire,vino de madeira,madeira wine,vin de madeire,vinho madeire,madeire wein,馬德拉酒,110
vin rouge,vino tinto,red wine,vino rosso,vinho tinto,rotwein,紅酒,110
vodka,vodka,vodka,vodka,vodca,wodka,伏特加,110
whisky,whiskey,whisky,whisky,uísque,whisky,威士忌酒,110
babeurre&lait ribot,suero de la leche,buttermilk,latticello,soro de leite coalhado&leite ribot,buttermilch&ribotmilch,酪,201
beurre sale,mantequilla salada,salted butter,burro salato,manteiga suja,schmutzige butter,咸黃油,201
beurre&beurre doux,mantequilla&mantequilla dulce,butter&soft butter,burro,manteiga&manteiga doce,butter&susse butter,牛油,201
crème chantilly,crema batida,whipped cream,panna montata,chantili,schlagsahne,鮮奶油,201
crème liquide&crème fleurette,crema líquida,liquid cream,panna liquida,creme liquido,flüssige sahne,液狀膏,201
crème&crème fraiche,nata,sour cream,crema,creme&creme frescos,frische sahne&sahne,酸奶油,201
kéfir,kéfir,kefir,kefir,kefir,kefir,開菲爾,201
kéfir de chèvre,kéfir de cabra,goat kefir,capra kefir,kefir de cabra,ziegenkefir,山羊開菲爾,201
lait concentre,leche condensada,concentrated milk,latte condensato,leite condensado,kondensmilch,煉乳,201
lait&lait de vache,leche&lacte,milk,latte,leite de vaca,kuhmilch,牛奶,201
yaourt,yogur,yogurt,yogurt,iogurte,joghurt,酸奶,201
beaufort,beaufort,beaufort,beaufort,beaufort,beaufort,博福特,202
boursin&fromage aux fines herbes,bursin&queso de hierbas,bursin&herbal cheese,boursin,bolsa&queijo de ervas,geldbörse&kräuterkase,布森,202
brie,brie,brie,brie,brie,brie,布里乾酪,202
brillât savarin,brillat savarin,brillat savarin,brillat savarin,brillat savarin,brillat savarin,布里拉特·薩瓦林,202
camembert,camembert,camembert,camembert,camembert,camembert,卡蒙伯爾,202
cantal,cantal,cantal,cantal,cantal,cantal,運河,202
cheddar,cheddar,cheddar,cheddar,queijo cheddar,cheddar,切達干酪,202
crottin chavignol,crottin chavignol,crottin chavignol,crottin chavignol,crottin chavignol,crottin chavignol,克羅汀沙威尼醇,202
emmental&comte&gruyère,emmental&gruyere,emmental&gruyère,emmental,emmental&comte&gruyere,emmental&comte&gruyere,情感的,202
faisselle,requesón,cottage cheese,faiselle,queijo tipo cottage,hüttenkäse,乾酪,202
feta,feta&queso feta,feta,feta,feta,feta,羊乳酪,202
fourme d'ambert,fourme d'ambert,fourme d'ambert,fourme d'ambert,fourme d'ambert,fourme d'ambert,fourme d'ambert,202
fromage a la crème&philadelphia,queso de crema&philadelphia,cream cheese&philadelphia,formaggio cremoso,cream cheese&filadelfia,frischkase&philadelphia,奶油乳酪,202
fromage a pâte dure,queso duro,hard cheese,formaggio a pasta dura,queijo duro,hartkäse,硬奶酪,202
fromage a pâte molle,queso blando,soft paste cheese,formaggio a pasta molle,queijo macio,weichkäse,軟糊奶酪,202
fromage a pâte persillée,queso azul,blue cheese,formaggio blu,queijo azul,blauschimmelkäse,藍乳酪,202
fromage de chèvre&chèvre,queso de cabra,goat cheese,formaggio di capra,queijo de cabra,ziegenkäse,山羊奶酪,202
fromage fermenté,queso fermentado,fermented cheese,formaggio fermentato,queijo fermentado,fermentierter käse,發酵奶酪,202
fromage frais&fromage blanc,queso fresco,fresh cheese,formaggio fresco,queijo creme&queijo branco,weißkäse,新鮮奶酪,202
fromage râpé,queso rallado,grated cheese,formaggio grattugiato,queijo ralado,geriebener käse,磨碎的奶酪,202
fromage végan,queso vegano,vegan cheese,formaggio vegano,queijo vegan,veganer käse,純素奶酪,202
gorgonzola,gorgonzola,gorgonzola,gorgonzola,gorgonzola,gorgonzola,戈貢佐拉,202
gouda,gouda,gouda,gouda,gouda,gouda,高達,202
maroilles,maroilles&taleggio,maroilles,maroilles,marrocos,maroilles,馬洛萊斯,202
mascarpone,mascarpone,mascarpone,mascarpone,mascarpone,mascarpone,馬斯卡彭尼,202
mont d'or,mont d'or,mont d'or,mont d'or,mont d'or,mont d'or,蒙特或,202
mozzarella&burrata,mozzarella&burrata,mozzarella&burrata,mozzarella,mussarela&burrata,mozzarella&burrata,奶酪,202
parmesan,parmesano,parmesan,parmigiano,parmesão,parmesan,巴馬干酪,202
pecorino romano,pecorino romano,pecorino romano,pecorino romano,pecorino romano,pecorino romano,佩科里諾羅馬諾,202
raclette,raclette,raclette,raclette,raclette,raclette,拉克萊特,202
reblochon,reblochon,reblochon,reblochon,reblochon,reblochon,reblochon,202
ricotta,ricota,ricotta,ricotta,ricota,ricotta,凝乳,202
roquefort&bleu d'auvergne,roquefort,roquefort,roquefort,roquefort&bleu d auvergne,roquefort&bleu d auvergne,羊乳乾酪,202
st môret,st moret,st moret,st moret,st moret,st moret,聖莫雷,202
tomme,tomme,tomme,tomme,tomme,tomme,湯姆,202
œuf,huevo,egg,uovo,egg,ei,蛋,203
anchois,boquerón&anchoas,anchovy,acciuga,anchova,sardellen,鳳尾魚,211
anguille,anguila,eel,anguilla,enguia,aal,鰻魚,211
bar&loup,lubina,sea bass,spigola,robalo,seebarsch,鱸魚,211
barbue&turbot,rodaballo,brill,catbue,barbudo,steinbutt,布里爾,211
baudroie&lotte,lota&rape,burbot&anglerfish,coda di rospo,tamboril,seeteufel,安康魚,211
bonite,bonito,bonito,bonito,bonito,bonito,鰹,211
brochet,lucio,pike,luccio,lúcio,hecht,派克,211
cabillaud&morue,bacalao,cod&stockfish,merluzzo,bacalhau,kabeljau,鱈魚,211
carpe,carpa,carp,carpa,carpa,karpfen,鯉魚,211
caviar,caviar,caviar,caviale,caviar,kaviar,魚子醬,211
congre,congrio,conger,grongo,congro,conger aal,鰻魚,211
dorade&brème de mer&daurade,dorada&brema,bream,dorado,dourada,seebrasse&dorade brasse,海鯛,211
espadon,pez espada,swordfish,pesce spada,peixe-espada,schwertfisch,旗魚,211
esturgeon,esturión,sturgeon,storione,esturjão,stor,鱘,211
flétan,hipogloso,halibut,ippoglosso,alabote,heilbutt,大比目魚,211
furikake,furikake,furikake,furikake,furikake,furikake,假貨,211
gardon,cucaracha,roach,scarafaggio,barata,plötze,蟑螂,211
grondin,escarcho,gurnard,gurnard,bacamarte,knurrhahn,魴魚,211
hareng,arenque,herring,aringa,arenque,hering,鯡魚,211
lieu noir&lieu jaune,saithe,pollack&saithe,merluzzo carbonaro&pollack,escamudo,spricht&pollack,賽義德,211
limande&carrelet&plie,lenguado&platija,plaice&dab,dab&passera,solha,flunder&scholle,輕拍,211
lingue bleue,ling azul,blue ling,blue ling,maruca azul,blauer leng,藍鈴,211
maigre&courbine,corvina,croaker,corvina,corvina,croaker,瘦骨嶙峋的,211
maquereau,caballa,mackerel,mackerel,cavala,makrele,鯖魚,211
marlin,aguja,marlin,marlin,marlim,marlin,馬林魚,211
melva,melva,frigate tuna,lekva,melva,melva,梅爾瓦,211
merlan,pescadilla &bacaladilla,whiting,whiting,badejo,wittling,鱈魚,211
merlu&colin,merluza,hake,hake,pescada,seehecht,無須鱈,211
mérou,agrupador,grouper,grouper,pescada garoupa,zackenbarsch,石斑魚,211
omble chevalier,char,arctic char,salmeriona alpino,carvão ártico,seesaibling,燒焦,211
panga,panga,panga,panga,panga,panga,潘加,211
perche,perca,perch,persico,poleiro,barsch,極,211
pibale&civelle,angula,elver,pibal,elver,elver,精靈,211
poisson,pescado,fish,pesce,peixe,fisch,魚,211
raie,raya,ray,raggio,skate,schlittschuh,黃貂魚,211
rascasse,rescaza,scorpion fish,pesce scorpione,peixe escorpião,skorpionfisch,獅子魚,211
requin&saumonette,tiburón,shark,squalo,tubarão,hai,鯊魚,211
rouget barbet,salmonete,red mullet,triglia,salmonete,rotbarbe,鯔,211
rousse,pintarroja,redhead,lampone rosso,raposa-vermelha,rotfuchs,紅發女郎,211
roussette,lobo de mar,sea dog,volpe,dogfish,dogfish,狗魚,211
sabre noir,espada negra,black sword,spada nera,espada preta,schwarzes schwert,黑軍刀,211
saint pierre,san pedro,saint pierre,saint pierre,santo pedra,heiliger stein,聖皮埃爾,211
sandre,lucioperca,zander,pesce persico,zander,zander,梭鱸,211
sardine,sardina,sardine,sardina,sardinha,sardinen,沙丁魚,211
saumon,salmón,salmon,salmone,salmão,lachs,三文魚,211
saumon fume,salmón ahumado,smoker salmon,salmone affumicato,salmão defumado,raucherlachs,煙熏三文魚,211
silure,bagre,catfish,pesce gatto,peixe-gato,wels,鯰魚,211
sole,único,sole,sogliola,linguado,seezunge,唯一,211
sprat,espadín,sprat,spratto,espadilha,sprotte,西鯡,211
sébaste,gallineta,red fish,scorfano,cantarilho,rotbarsch,皮脂,211
tarama,taramasalata,tarama,tarama,tarama,tarama,塔拉瑪,211
thon&albacore,atún&albacore,tuna&albacore,tonno&albacore,atum&albacore,thunfisch&albacore,金槍魚,211
tilapia,tilapia,tilapia,tilapia,tilapia,tilapia,羅非魚,211
truite,trucha,trout,trota,truta,forelle,鱒魚,211
truite fumée,trucha ahumada,smoked trout,trota affumicata,truta defumada,geraucherte forelle,煙熏鱒魚,211
vive,peces araña,weevers,vive,vida longa,es lebe,活潑,211
églefin&aiglefin&haddock,eglefino&abadejo,haddock,eglefino,arinca,schellfisch,黑線鱈,211
éperlan,fundir,smelt,odore,cheirava,roch,冶煉,211
œuf de lump,huevo a tanto alzado,lump egg,grumo uovo,ovo em pedaços,klumpenei,塊蛋,211
œuf de saumon,huevo de salmón,salmon eggs,uovo di salmone,ovo de salmão,lachsei,鮭魚蛋,211
bécasse,becadas,woodcock,beccaccia,becasse,becasse,貝卡斯,212
caille,codorniz,quail,quaglia,codorniz,wachtel,鵪鶉,212
canard&colvert,pato,duck,anatra,pato&pato-real,ente&stockente,鴨,212
chapon,capón,capon,cappone,capão,kapaun,卡彭,212
coq&coquelet,gallo&gallo joven,cock&cockerel,galletto,galo,hahn,公雞,212
dinde,pavo,turkey,tacchino,turquia,truthahn,火雞,212
faisan,faisán,pheasant,fagiano,faisão,fasan,野雞,212
grive,afta,thrush,tordo,tordo,soor,畫眉,212
oie,ganso,goose,oca,ganso,gans,鵝,212
perdrix,perdiz,partridge,pernice,perdiz,rebhuhn,鷓鴣,212
pigeon&pigeonneau&palombe,paloma&pichón,pigeon&squab,piccione,pigeon&pombo&pombo da madeira,tauben&taube&waldtaube,鴿子,212
pintade,gallina de guinea,guinea fowl,faraona,pintada,perlhuhn,珍珠雞,212
poulet&poule&poularde,pollo&gallina,chicken&hen,pollo,galinha,huhn&henne,雞,212
volailles,aves de corral,poultry,pollame,aves domesticas,geflügel,家禽,212
amandes de mer,almendras de mar,sea almonds,mandorla di mare,amêndoas do mar,seemandeln,海杏仁,213
bigorneau,vincapervinca,periwinckle,pervinca,pervinca,immergrün,長春,213
bulot&buccin,buccino,whelk,whelk,búzios,pustel,青春痘,213
calamar&encornet&supions,calamar&pota,squid,calamari,lula,tintenfisch,烏賊,213
coques,shells,conchas,vongole,ameijoas,venusmuscheln,案件,213
coquille saint jacques,vieira,scallop,pettine,concha de vieira,jakobsmuschel,扇貝殼,213
couteau,navajas,sea knife,coltello,faca do mar,seemesser,海刀,213
crabe&tourteau&étrille&araignée de mer,cangrejo,crab,granchio&ragno di mare,caranguejo,krabben&seespinnen,螃蟹,213
crevette&gamba&gamberoni,camarón&camarones&gamba,shrimp&prawn,gambero,camarão&gamba&gamberoni,garnelen&gamba&gamberoni,蝦,213
crépidules,crepidula,crepidula,crepidula,crepidios,crepidules,龜裂的,213
escargot,caracol,snail,lumaca,caracol,schnecke,蝸牛,213
homard&langouste,langosta,lobster,aragosta,lagosta,hummer,龍蝦,213
huitre,ostra,oyster,ostrica,ostra,auster,牡蠣,213
moule,mejillón,mussel,cozza,mexilhão,muschel,模具,213
ormeau,abulón,abalon,abalone,abalone,abalone,鮑魚,213
oursin,erizos de mar,sea urchin,riccio di mare,ouriço do mar,seeigel,海膽,213
palourde&praire,almeja,clam,vongola,molusco&pradaria,wiese,蛤,213
patelle&bernique,lapa,limpet,patella,manso&prado,limp,帽貝,213
poulpe&pieuvre,pulpo,octopus,polpo,polvo,oktopus&octopus,章魚,213
pétoncles blancs&vanneau,vieira blanca,white scallop,capesante,vieira branca,weiße jakobsmuscheln&kiebitz,白色扇貝,213
pétoncles noirs,vieira negra,black scallop,capesante nero,vieiras pretas,schwarze jakobsmuscheln,黑扇貝,213
seiche,jibia&sepia,cuttlefish,seppie,chocos,tintenfische,烏賊,213
surimi,surimi,surimi,surimi,surimi,surimi,魚糜,213
telline&donax,telline,telline,telline,telline&donax,telline&donax,泰林,213
écrevisse,cangrejo de río,crayfish,gamberi,lagostins,krebse,小龍蝦,213
agneau,cordero,lamb,agnello,cordeiro,lamm,羊肉,214
andouillette,menudos de cerdo,chitterlings,andouillette,andouillette,andouillette,andouillette,214
bacon&lard&lardon&pancetta,tocino&panceta,bacon&pancetta,pancetta,bacon&pancetta,speck&pancetta,培根,214
boudin,morcilla blanca&pudin negro,white sausage&black pudding,budino,pudim,weißer pudding&blutwurst,黑色布丁,214
bresaola,bresaola,bresaola,bresaola,bresaola,bresaola,布雷索拉,214
bœuf&tournedo&entrecôte&rosbeef&hampe&tende de tranche&onglet,carne de res,beef,manzo,carne&tournedo&entrecôte&rosbife&caule&lombo&aba,rindfleisch&tournedo&entrecôte&rosbeef&stiel&filet&tab,牛肉,214
cabri,cabra,goat,cabri,cabra,ziege,山羊,214
cerf,ciervo,deer,cervo,veado,hirsch,鹿,214
chipolata,chipolata,chipolata,chipolata,chipolata,chipolata,花栗,214
coppa,coppa,coppa,coppa,coppa,coppa,科帕,214
farce,relleno,filling,ripieno,recheio,füllung,惡作劇電話,214
foie&foie gras&gésier,hígado&foie gras&molleja,liver&foie gras&gizzard,fegato,fígado&foie gras&moela,leber&foie gras&muskelmagen,肝臟,214
grenouille,rana,frog,rana,sapo,frosch,青蛙,214
jambon&jambonneau&pata negra&speck,jamón,ham,prosciutto,presunto&pata negra,schinken&pata negra,火腿,214
lapin&lapereau,conejo,rabbit,coniglio,coelho,kaninchen,兔子,214
lièvre,liebre,hare,lepre,lebre,hase,野兔,214
lomo,lomo,lomo,lomo,lomo,lomo,洛莫,214
merguez,merguez,merguez,merguez,merguez,merguez,梅格茲,214
mortadelle,mortadela,mortad,mortadella,mortadela,mortadella,熟香腸,214
mouton,oveja,sheep,montone,carne de carneiro,hammel,羊,214
os a moelle,hueso con tuétano,bone marrow,midollo osseo,medula óssea,knochenmark,骨髓,214
porc&sanglier&cochon,cerdo&jabalí,pork&boar,maiale,porco&javali,schweinefleisch&wildschwein&schwein&spanferkel,豬肉,214
rosette,rosette,rosette,rosetta,roseta,rosette,玫瑰花結,214
saindoux,manteca de cerdo,lard,strutto,banha de porco,schmalz,豬油,214
saucisse&saucisson&chorizo&salami&cervela&diots,salchicha&chorizo,sausage&chorizo&wieners,salsiccia,linguiça&chouriço&salame&cervela&diots,wurst&chorizo&salami&cervela&diots,香腸,214
